Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,3612.9265659421626,84612.92656594218,3613.271565942163,3613.271565942163
10,3612.9265659421626,11712.926565942162,3613.271565942163,3613.271565942163
20,3612.9265659421626,7662.926565942162,3613.271565942163,3613.271565942163
30,3612.9265659421626,6312.926565942162,3613.271565942163,3613.271565942163
40,3612.9265659421626,5637.926565942162,3613.271565942163,3613.271565942163
50,3612.9265659421626,5232.926565942162,3613.271565942163,3613.271565942163
60,3612.9265659421626,4962.926565942162,3613.271565942163,3613.271565942163
70,3612.9265659421626,4770.069423085019,3613.271565942163,3613.271565942163
80,3612.9265659421626,4625.426565942163,3613.271565942163,3613.271565942163
90,3612.9265659421626,4512.926565942163,3613.271565942163,3613.271565942163
100,3612.9265659421626,4422.926565942163,3613.271565942163,3613.271565942163
