Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,12387.051476478182,520387.0514764783,12388.81647647818,12387.126476478184
10,12387.051476478182,63187.051476478184,12388.81647647818,12387.126476478184
20,12387.051476478182,37787.051476478184,12388.81647647818,12387.126476478184
30,12387.051476478182,29320.384809811512,12388.81647647818,12387.126476478184
40,12387.051476478182,25087.051476478184,12388.81647647818,12387.126476478184
50,12387.051476478182,22547.051476478184,12388.81647647818,12387.126476478184
60,12387.051476478182,20853.71814314485,12388.81647647818,12387.126476478184
70,12387.051476478182,19644.194333621042,12388.81647647818,12387.126476478184
80,12387.051476478182,18737.051476478184,12388.81647647818,12387.126476478184
90,12387.051476478182,18031.49592092263,12388.81647647818,12387.126476478184
100,12387.051476478182,17467.051476478187,12388.81647647818,12387.126476478184
